Symbol,Date
A,2000-06-05
AAL,2015-03-23
AAP,2015-07-09
AAPL,1982-11-30
ABBV,2012-12-31
ABC,2001-08-30
ABMD,2018-05-31
ABT,1964-03-31
ACN,2011-07-06
ADBE,1997-05-05
ADI,1999-10-12
ADM,1981-07-29
ADP,1981-03-31
ADSK,1989-12-01
AEE,1991-09-19
AEP,1957-03-04
AES,1998-10-02
AFL,1999-05-28
AIG,1980-03-31
AIZ,2007-04-10
AJG,2016-05-31
AKAM,2007-07-12
ALB,2016-07-01
ALGN,2017-06-19
ALK,2016-05-13
ALL,1995-07-13
ALLE,2013-12-02
AMAT,1995-03-16
AMCR,2019-06-07
AMD,1957-03-04
AME,2013-09-23
AMGN,1992-01-02
AMP,2005-10-03
AMT,2007-11-19
AMZN,2005-11-18
ANET,2018-08-28
ANSS,2017-06-19
ANTM,2002-07-25
AON,1996-04-23
AOS,2017-07-26
APA,1997-07-28
APD,1985-04-30
APH,2008-09-30
APTV,2012-12-24
ARE,2017-03-20
ATO,2019-02-15
ATVI,2015-08-31
AVB,2007-01-10
AVGO,2014-05-08
AVY,1987-12-31
AWK,2016-03-04
AXP,1976-06-30
AZO,1997-01-02
BA,1957-03-04
BAC,1976-06-30
BAX,1972-09-30
BBWI,1983-09-30
BBY,1999-06-29
BDX,1972-09-30
BEN,1957-03-04
BF.B,1982-10-31
BIIB,2003-11-13
BIO,2020-06-22
BK,1995-03-31
BKNG,2009-11-06
BKR,2017-07-07
BLK,2011-04-04
BLL,1984-10-31
BMY,1957-03-04
BR,2018-06-18
BRK.B,2010-02-16
BRO,2021-09-20
BSX,1995-02-24
BWA,2011-12-19
BXP,2006-04-03
C,1988-05-31
CAG,1983-08-31
CAH,1997-05-27
CARR,2020-04-03
CAT,1957-03-04
CB,2010-07-15
CBOE,2017-03-01
CBRE,2006-11-10
CCI,2012-03-14
CCL,1998-12-22
CDAY,2021-09-20
CDNS,2017-09-18
CDW,2019-09-23
CE,2018-12-24
CERN,2010-04-30
CF,2008-08-27
CFG,2016-01-29
CHD,2015-12-29
CHRW,2007-03-02
CHTR,2016-09-08
CI,1976-06-30
CINF,1997-12-18
CL,1957-03-04
CLX,1969-03-31
CMA,1995-12-01
CMCSA,2002-11-19
CME,2006-08-11
CMG,2011-04-28
CMI,1965-03-31
CMS,1999-05-03
CNC,2016-03-30
CNP,1985-07-31
COF,1998-07-01
COO,2016-09-23
COP,1957-03-04
COST,1993-10-01
CPB,1957-03-04
CPRT,2018-07-02
CRL,2021-05-14
CRM,2008-09-15
CSCO,1993-12-01
CSX,1967-09-30
CTAS,2001-03-01
CTLT,2020-09-21
CTRA,2008-06-23
CTSH,2006-11-17
CTVA,2019-06-03
CTXS,1999-12-01
CVS,1957-03-04
CVX,1957-03-04
CZR,2021-03-22
D,1957-03-04
DAL,2013-09-11
DD,2019-04-02
DE,1957-03-04
DFS,2007-07-02
DG,2012-12-03
DGX,2002-12-12
DHI,2005-06-22
DHR,1957-03-04
DIS,1976-06-30
DISCA,2010-03-01
DISCK,2014-08-07
DISH,2017-03-13
DLR,2016-05-18
DLTR,2011-12-19
DOV,1985-10-31
DOW,2019-04-01
DPZ,2020-05-12
DRE,2017-07-26
DRI,1957-03-04
DTE,1957-03-04
DUK,1976-06-30
DVA,2008-07-31
DVN,2000-08-30
DXC,2017-04-04
DXCM,2020-05-12
EA,2002-07-22
EBAY,2002-07-22
ECL,1989-01-31
ED,1957-03-04
EFX,1997-06-19
EIX,1957-03-04
EL,2006-01-05
EMN,1994-01-01
EMR,1965-03-31
ENPH,2021-01-07
EOG,2000-11-02
EQIX,2015-03-20
EQR,2001-12-03
ES,1957-03-04
ESS,2014-04-02
ETN,1957-03-04
ETR,1957-03-04
ETSY,2020-09-21
EVRG,2018-06-05
EW,2011-04-01
EXC,1957-03-04
EXPD,2007-10-10
EXPE,2007-10-02
EXR,2016-01-19
F,1957-03-04
FANG,2018-12-03
FAST,2008-09-15
FB,2013-12-23
FBHS,2016-06-22
FCX,1957-03-04
FDX,1980-12-31
FE,1957-03-04
FFIV,2010-12-20
FIS,2006-11-10
FISV,2001-04-02
FITB,1957-03-04
FLT,2018-06-20
FMC,2009-08-19
FOX,2015-09-18
FOXA,2013-07-01
FRC,2019-01-02
FRT,2016-02-01
FTNT,2018-10-11
FTV,2016-07-01
GD,1957-03-04
GE,1957-03-04
GILD,2004-07-01
GIS,1969-03-31
GL,1989-04-30
GLW,1957-03-04
GM,2013-06-06
GNRC,2021-03-22
GOOG,2006-04-03
GOOGL,2014-04-03
GPC,1973-12-31
GPN,2016-04-25
GPS,1986-08-31
GRMN,2012-12-12
GS,2002-07-22
GWW,1981-06-30
HAL,1957-03-04
HAS,1984-09-30
HBAN,1957-03-04
HBI,2015-03-20
HCA,2015-01-27
HD,1988-03-31
HES,1984-05-31
HIG,1957-03-04
HII,2018-01-03
HLT,2017-06-19
HOLX,2016-03-30
HON,1964-03-31
HPE,2015-11-02
HPQ,1974-12-31
HRL,2009-03-04
HSIC,2015-03-17
HST,2007-03-20
HSY,1957-03-04
HUM,1957-03-04
HWM,1964-03-31
IBM,1957-03-04
ICE,2007-09-26
IDXX,2017-01-05
IEX,2019-08-09
IFF,1976-03-31
ILMN,2015-11-19
INCY,2017-02-28
INFO,2017-06-02
INTC,1976-12-31
INTU,2000-12-05
IP,1957-03-04
IPG,1992-10-01
IPGP,2018-03-07
IQV,2017-08-29
IR,2020-03-03
IRM,2009-01-06
ISRG,2008-06-02
IT,2017-04-05
ITW,1986-02-28
IVZ,2008-08-21
J,2007-10-26
JBHT,2015-07-01
JCI,2010-08-27
JKHY,2018-11-13
JNJ,1973-06-30
JNPR,2006-06-02
JPM,1975-06-30
K,1989-09-11
KEY,1994-03-01
KEYS,2018-11-06
KHC,2015-07-06
KIM,2006-04-04
KLAC,1957-03-04
KMB,1957-03-04
KMI,2012-05-25
KMX,2010-06-28
KO,1957-03-04
KR,1957-03-04
KSU,2013-05-24
L,1957-03-04
LDOS,2019-08-09
LEG,1999-10-14
LEN,2005-10-04
LH,2004-11-01
LHX,2008-09-22
LIN,1992-07-01
LKQ,2016-05-23
LLY,1970-12-31
LMT,1984-07-31
LNC,1976-06-30
LNT,2016-07-01
LOW,1984-02-29
LRCX,2012-06-29
LUMN,1999-03-25
LUV,1994-07-01
LVS,2019-10-03
LW,2018-12-03
LYB,2012-09-05
LYV,2019-12-23
MA,2008-07-18
MAA,2016-12-02
MAR,1957-03-04
MAS,1981-06-30
MCD,1970-06-30
MCHP,2007-09-07
MCK,1957-03-04
MCO,1957-03-04
MDLZ,2012-10-02
MDT,1986-10-31
MET,1957-03-04
MGM,2017-07-26
MHK,2013-12-23
MKC,2003-03-20
MKTX,2019-07-01
MLM,2014-07-02
MMC,1987-08-31
MMM,1976-08-09
MNST,2012-06-28
MO,1957-03-04
MOS,2011-09-26
MPC,2011-07-01
MPWR,2021-02-12
MRK,1957-03-04
MRNA,2021-07-21
MRO,1991-05-01
MS,1957-03-04
